# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
52.64	9.53546e-08	3.89284e-07	2.31005e-08	9.43075e-08
52.9	9.47043e-08	3.86629e-07	2.27536e-08	9.28912e-08
53.16	9.40704e-08	3.84041e-07	2.2413e-08	9.15006e-08
53.42	9.34524e-08	3.81518e-07	2.20785e-08	9.0135e-08
53.68	9.28502e-08	3.79059e-07	2.175e-08	8.8794e-08
53.94	9.22634e-08	3.76664e-07	2.14274e-08	8.74769e-08
54.2	9.16919e-08	3.74331e-07	2.11105e-08	8.61832e-08
54.46	9.11353e-08	3.72058e-07	2.07992e-08	8.49125e-08
54.72	9.05934e-08	3.69846e-07	2.04935e-08	8.36643e-08
54.98	9.0066e-08	3.67693e-07	2.01931e-08	8.24381e-08
55.24	8.95529e-08	3.65598e-07	1.9898e-08	8.12334e-08
55.5	8.90537e-08	3.6356e-07	1.96081e-08	8.00498e-08
55.76	8.85684e-08	3.61579e-07	1.93233e-08	7.88869e-08
56.02	8.80967e-08	3.59653e-07	1.90433e-08	7.77441e-08
56.28	8.76384e-08	3.57782e-07	1.87683e-08	7.66212e-08
56.54	8.71933e-08	3.55965e-07	1.8498e-08	7.55176e-08
56.8	8.67613e-08	3.54201e-07	1.82323e-08	7.44331e-08
57.06	8.63421e-08	3.5249e-07	1.79712e-08	7.33671e-08
57.32	8.59357e-08	3.50831e-07	1.77146e-08	7.23194e-08
57.58	8.55418e-08	3.49223e-07	1.74623e-08	7.12896e-08
57.84	8.51603e-08	3.47665e-07	1.72143e-08	7.02773e-08
58.1	8.47911e-08	3.46158e-07	1.69706e-08	6.92822e-08
58.36	8.44339e-08	3.447e-07	1.6731e-08	6.83039e-08
58.62	8.40888e-08	3.43291e-07	1.64954e-08	6.73421e-08
58.88	8.37555e-08	3.41931e-07	1.62637e-08	6.63964e-08
59.14	8.3434e-08	3.40618e-07	1.6036e-08	6.54667e-08
59.4	8.31241e-08	3.39353e-07	1.58121e-08	6.45525e-08
59.66	8.28257e-08	3.38134e-07	1.55919e-08	6.36535e-08
59.92	8.25387e-08	3.36963e-07	1.53753e-08	6.27695e-08
60.18	8.22631e-08	3.35838e-07	1.51624e-08	6.19002e-08
60.44	8.19987e-08	3.34758e-07	1.4953e-08	6.10453e-08
60.7	8.17455e-08	3.33724e-07	1.4747e-08	6.02046e-08
60.96	8.15033e-08	3.32736e-07	1.45445e-08	5.93776e-08
61.22	8.12721e-08	3.31792e-07	1.43453e-08	5.85643e-08
61.48	8.10519e-08	3.30893e-07	1.41493e-08	5.77643e-08
61.74	8.08426e-08	3.30039e-07	1.39566e-08	5.69774e-08
62	8.06441e-08	3.29228e-07	1.3767e-08	5.62034e-08
62.26	8.04564e-08	3.28462e-07	1.35805e-08	5.5442e-08
62.52	8.02795e-08	3.2774e-07	1.3397e-08	5.46929e-08
62.78	8.01132e-08	3.27061e-07	1.32165e-08	5.3956e-08
63.04	7.99576e-08	3.26426e-07	1.30389e-08	5.32311e-08
63.3	7.98127e-08	3.25834e-07	1.28642e-08	5.25178e-08
63.56	7.96784e-08	3.25286e-07	1.26923e-08	5.18161e-08
63.82	7.95547e-08	3.24781e-07	1.25232e-08	5.11256e-08
64.08	7.94417e-08	3.24319e-07	1.23568e-08	5.04462e-08
64.34	7.93392e-08	3.23901e-07	1.2193e-08	4.97778e-08
64.6	7.92474e-08	3.23526e-07	1.20319e-08	4.912e-08
64.86	7.91662e-08	3.23195e-07	1.18733e-08	4.84727e-08
65.12	7.90956e-08	3.22906e-07	1.17173e-08	4.78357e-08
65.38	7.90357e-08	3.22662e-07	1.15638e-08	4.72088e-08
65.64	7.89865e-08	3.22461e-07	1.14126e-08	4.65919e-08
65.9	7.8948e-08	3.22304e-07	1.12639e-08	4.59848e-08
66.16	7.89203e-08	3.22191e-07	1.11176e-08	4.53873e-08
66.42	7.89034e-08	3.22122e-07	1.09735e-08	4.47992e-08
66.68	7.88973e-08	3.22097e-07	1.08317e-08	4.42204e-08
66.94	7.89022e-08	3.22117e-07	1.06922e-08	4.36507e-08
67.2	7.89181e-08	3.22182e-07	1.05548e-08	4.30899e-08
67.46	7.8945e-08	3.22292e-07	1.04196e-08	4.25379e-08
67.72	7.89832e-08	3.22447e-07	1.02865e-08	4.19946e-08
67.98	7.90325e-08	3.22649e-07	1.01555e-08	4.14597e-08
68.24	7.90932e-08	3.22897e-07	1.00265e-08	4.09332e-08
68.5	7.91653e-08	3.23191e-07	9.89958e-09	4.04149e-08
68.76	7.92489e-08	3.23532e-07	9.77459e-09	3.99046e-08
69.02	7.93443e-08	3.23922e-07	9.65154e-09	3.94022e-08
69.28	7.94514e-08	3.24359e-07	9.5304e-09	3.89077e-08
69.54	7.95704e-08	3.24845e-07	9.41113e-09	3.84208e-08
69.8	7.97016e-08	3.2538e-07	9.2937e-09	3.79414e-08
70.06	7.98449e-08	3.25966e-07	9.17809e-09	3.74694e-08
70.32	8.00007e-08	3.26601e-07	9.06425e-09	3.70046e-08
70.58	8.0169e-08	3.27288e-07	8.95216e-09	3.65471e-08
70.84	8.035e-08	3.28028e-07	8.8418e-09	3.60965e-08
71.1	8.0544e-08	3.2882e-07	8.73312e-09	3.56528e-08
71.36	8.07511e-08	3.29665e-07	8.62611e-09	3.52159e-08
71.62	8.09716e-08	3.30565e-07	8.52073e-09	3.47857e-08
71.88	8.12057e-08	3.31521e-07	8.41695e-09	3.43621e-08
72.14	8.14535e-08	3.32533e-07	8.31476e-09	3.39449e-08
72.4	8.17154e-08	3.33602e-07	8.21412e-09	3.3534e-08
72.66	8.19917e-08	3.3473e-07	8.11501e-09	3.31294e-08
72.92	8.22825e-08	3.35917e-07	8.01741e-09	3.27309e-08
73.18	8.25882e-08	3.37165e-07	7.92128e-09	3.23385e-08
73.44	8.29091e-08	3.38475e-07	7.8266e-09	3.1952e-08
73.7	8.32456e-08	3.39849e-07	7.73335e-09	3.15713e-08
73.96	8.35978e-08	3.41287e-07	7.6415e-09	3.11963e-08
