# mN [MeV]	|U_muN|^2 (15MeV)	|U_muN|^2 (10MeV)	|U_eN|^2 (15MeV)	|U_eN|^2 (10MeV)
58.75	1.1889192900055784e-6	1.9774216656252683e-6	2.3634484012057135e-7	5.001940459623093e-7
59.4	1.2063505305629346e-6	2.0022413276898492e-6	2.3459858094962754e-7	5.127261464877178e-7
60.05	1.2238758245765355e-6	2.0303946622591044e-6	2.3352428147163221e-7	5.25877954785939e-7
60.7	1.2446720887906478e-6	2.06524669298979e-6	2.320612277078253e-7	5.378969414556126e-7
61.35	1.262009275891759e-6	2.0933582260229364e-6	2.3145406039584548e-7	5.522191927648792e-7
62	1.2851046245918533e-6	2.127342874879365e-6	2.3094512669372122e-7	5.680577947964913e-7
62.65	1.3068832249045216e-6	2.171182235873435e-6	2.3141121382133398e-7	5.832066714823088e-7
63.3	1.3304488408858395e-6	2.208364702242184e-6	2.3220335293059517e-7	6.033978584612465e-7
63.95	1.354317518003946e-6	2.242986824524271e-6	2.335180112412159e-7	6.245431655018668e-7
64.6	1.37767412630472e-6	2.2860215059482477e-6	2.355767368945727e-7	6.436579629260036e-7
65.25	1.4078130338391418e-6	2.332254004884545e-6	2.387661940996717e-7	6.675893423482732e-7
65.9	1.4332701693293813e-6	2.378068488459755e-6	2.418793635013722e-7	6.99971947333333e-7
66.55	1.463994298369326e-6	2.421615238701064e-6	2.4581288804920726e-7	7.297168753899297e-7
67.2	1.4920117779462276e-6	2.4658830654402495e-6	2.5018219361097624e-7	7.583948192373498e-7
67.85	1.5306990996148924e-6	2.5315637290511507e-6	2.54559859479967e-7	7.89987375189954e-7
68.5	1.5610261140618036e-6	2.5780888387402097e-6	2.5959903465787896e-7	8.285952739400121e-7
69.15	1.5991804661450814e-6	2.6412509598005576e-6	2.666467736458172e-7	8.639917696785142e-7
69.8	1.6357150087041447e-6	2.7007345456833346e-6	2.7255960092840246e-7	9.108690573092892e-7
70.45	1.680306797348173e-6	2.783229877193988e-6	2.788977588408944e-7	9.590087513305492e-7
71.1	1.723581837604775e-6	2.8461620898057384e-6	2.8603641616986924e-7	1.015772102251048e-6
71.75	1.7715700010576406e-6	2.926776352191498e-6	2.9324718114863173e-7	1.065667460788876e-6
72.4	1.8189729430049834e-6	3.0061888204141295e-6	3.0155105629663847e-7	1.1269485127243298e-6
73.05	1.8646306708197852e-6	3.0890394649817074e-6	3.1046209875662507e-7	1.1767341422298725e-6
73.7	1.9308861055521824e-6	3.1962290539486157e-6	3.20134974212194e-7	1.248277471280029e-6
74.35	1.982573704950674e-6	3.2680231922154248e-6	3.300440283467774e-7	1.320343319531545e-6
